date_time,temp,rH
197201202100,1.666666667,61.24716818
197201210000,1.666666667,58.72237307
197201210300,1.666666667,43.49023647
197201210600,0.555555556,55.99069533
197201210900,0,44.92243943
197201211200,-0.555555556,42.81273373
197201211500,-1.666666667,63.06629505
197201211800,-2.777777778,55.07565866
197201212100,-1.111111111,84.86193267
197201220000,0,60.82951985
197201220300,1.111111111,61.1085989
197201220600,0,58.28716597
197201220900,0,60.82951985
197201221200,-0.555555556,63.33612061
197201221500,-0.555555556,58.14079858
197201221800,-0.555555556,60.68900401
197201222100,0.555555556,51.37710575
197201230000,1.666666667,49.52340325
197201230300,0.555555556,41.28939846
197201230600,0,44.92243943
197201230900,0,35.94990005
197201231200,0,34.360782
197201231500,-0.555555556,40.94685042
197201231800,-1.111111111,50.89725063
197201232100,0,42.98289219
197201240000,-1.111111111,63.20153459
197201240300,0,53.484349
197201240600,0,51.21777262
197201240900,0,41.11836992
197201241200,-1.111111111,46.60691084
197201241500,-1.666666667,65.83037602
197201241800,-1.666666667,65.83037602
197201242100,-1.666666667,92.12065733
197201250000,0.555555556,63.60334542
197201250300,1.111111111,56.14093956
197201250600,0.555555556,53.63976214
197201250900,-0.555555556,68.94044917
197201251200,-1.111111111,65.95824208
197201251500,-0.555555556,53.32830231
197201251800,-1.666666667,65.83037602
197201252100,-1.111111111,60.54783322
197201260000,-1.666666667,71.68400817
197201260300,-0.555555556,58.14079858
197201260600,-1.111111111,65.95824208
197201260900,1.111111111,45.25749349
197201261200,-1.666666667,57.84609998
197201261500,-1.111111111,55.53609914
197201261800,-1.111111111,53.17162012
197201262100,0,58.28716597
197201270000,0.555555556,39.49833697
197201270300,1.666666667,41.6299797
197201270600,1.111111111,39.66988328
197201270900,0,39.32633111
197201271200,-1.666666667,28.10361226
197201271500,-2.777777778,31.96853296
197201271800,-1.666666667,38.80756873
197201272100,-1.111111111,31.02542649
197201280000,1.111111111,30.30388039
197201280300,0.555555556,33.00699295
197201280600,0.555555556,34.53350094
197201280900,-1.111111111,34.01429086
197201281200,-2.222222222,40.42935455
197201281500,-2.222222222,32.14237567
197201281800,-2.222222222,52.85634158
197201282100,-1.666666667,53.01430051
197201290000,-1.111111111,46.60691084
197201290300,-0.555555556,53.32830231
197201290600,-1.111111111,50.89725063
197201290900,-2.222222222,77.90598211
197201291200,-2.777777778,62.79384196
197201291500,-3.333333333,59.97653957
197201291800,-3.333333333,59.97653957
197201292100,-3.333333333,65.44288751
197201300000,-2.777777778,65.57270235
197201300300,-2.777777778,65.57270235
197201300600,-5,56.94609885
197201300900,,
197201301200,,
197201301500,,
197201301800,,
197201302100,-3.333333333,65.44288751
197201310000,-2.777777778,65.57270235
197201310300,-1.666666667,65.83037602
197201310600,-1.666666667,60.40600444
197201310900,-2.222222222,52.85634158
197201311200,-1.111111111,63.20153459
197201311500,-1.666666667,63.06629505
197201311800,-1.111111111,40.77484078
197201312100,0,32.83469262
197202010000,0.555555556,39.49833697
197202010300,2.222222222,47.59815531
197202010600,1.666666667,45.42419582
197202010900,-1.111111111,65.95824208
197202011200,-1.111111111,40.77484078
197202011500,-2.777777778,44.075176
197202011800,-3.333333333,38.28471751
197202012100,-1.111111111,37.25784427
197202020000,1.666666667,36.46720253
197202020300,1.666666667,43.49023647
197202020600,0.555555556,63.60334542
197202020900,0,49.03714865
197202021200,-3.888888889,59.83204824
197202021500,-4.444444444,57.09777158
197202021800,-2.777777778,52.69774145
